Priority,Short Description,Subdirectory,Report ID
P2,restore defaults for columns of thread pane doesn't work,Thunderbird,463396
P2,inline forwarded messages show too much html composition chrome,Thunderbird,463577
P2,Restart needed for localized folder name (Drafts/Junk/Sent/Templates/Archives name in folderpane tree),Thunderbird,467527
P1,"Unable to shift focus to the Message Body Pane with keyboard (F-6), a problem for blind Users.",Thunderbird,382349
P1,Activity Manager: Need theme work,Thunderbird,476695
P3,The 'yomigana' (phonetic) input fields in vcard editing window are emptied when users are trying to save that.,Thunderbird,405762
P3,address book card preview pane problem in high contrast mode,Thunderbird,351736
P1,"Unwrapping long header lines in the detailed view leaves the ""more"" indicator visible and active",Thunderbird,469878
P3,Provide hooks so extensions can easily modify the message header view,Thunderbird,490042
P1,Block remote content for messages only - and not just in the message pane,Thunderbird,374578
P1,Setting the mail start page to non-redirects causes bad display of what's new tab.,Thunderbird,466527
P1,Formulate content policy for Audio/Video tags,Thunderbird,480674
P1,"Mail headers are unreadable in both normal and ""all"" modes due to size of ""more""",Thunderbird,473834
P1,security review for plugin enabling in thunderbird,Thunderbird,433794
P1,drive content policy changes security review,Thunderbird,491494
P3,crash clicking on newsgroup [@ msvcr80.dll] [@ memmove - nsTArray_base::ShiftData ],Thunderbird,460036
P2,GMail IMAP specific archive action,Thunderbird,475852
P2,Smart folders - individual saved searches disappear,Thunderbird,490326
P2,"in smart folders mode, remove special folders from normal accounts",Thunderbird,490691
P3,"""Unread folders"" mode doesn't update",Thunderbird,466644
P2,"Simplify / automate the addition of the pre-release suffix string (e.g. Alpha 1, Beta 2, etc.) - Port bug 468197 to TB",Thunderbird,481374
P3,"crashing when disk C: full/out of space with error message: ""Instruction at 0x0054ff01, referencing memory at 0x00000000....""",Thunderbird,512243
P3,"make message header ""other actions' contain an appropriate default set of actions",Thunderbird,512375
P1,message header view: get rid of extra horizontal whitespace,Thunderbird,499410
P1,mail header view: more button has problems and should be improved in some way,Thunderbird,499989
P3,"reply/forward buttons obscure ""From"" address when window is narrow like in ""vertical view"" layout",Thunderbird,495255
P1,l10n needs different entities for 'to: you' and 'from: you' in message header,Thunderbird,481966
P2,"Shredder ""Empty Trash"" on top of Trash tree does nothing in Smart-Folder view",Thunderbird,517723
P3,remove mail accounts from old account wizard for TB,Thunderbird,515479
P1,Some folders do not appear in Smart folder view,Thunderbird,516923
P1,[autoconfiguration]automatic mail account setup wizard fails,Thunderbird,516572
P4,Text beside icons doesn't work in address book and compose windows.,Thunderbird,519413
P4,default mac to small icons in toolbar,Thunderbird,519505
P1,quick account setup breaks if you hit stop (Error: host is undefined),Thunderbird,518171
P1,[autoconfiguration] can't create the account because incoming server already exists (creating two accounts on same server fails),Thunderbird,490430
P1,faceted search/message/any tabs broken by bug 516237,Thunderbird,516912
P2,"Get Mail toolbar button not display ""get all new messages"" item after customising toolbar",Thunderbird,518586
P2,polish tweaks for the header button box on mac,Thunderbird,519822
P4,Threadpane column icons not centered in new Windows XP theme,Thunderbird,494430
P3,Attachment checker doesn't work with CJK keyword,Thunderbird,520706
P3,[faceted search] too long attachment names result in overlapping or truncated text and odd line breaks,Thunderbird,519809
P2,"When the people lists in faceted search goes empty and hide, never goes back visible.",Thunderbird,520388
P3,"Nit: Improve header pane metrics (e.g. ""other actions"" button too big, fix right alignment, reduce vertical space)",Thunderbird,521334
P2,"[MAC OS] Dragging attachments into folders overwrites existing files with same name without confirmation (Drag-and-drop, overwritten, no warning)",Thunderbird,413848
P1,Can't edit server settings when check is cancelled,Thunderbird,521955
P3,clear icon is windows style,Thunderbird,522014
P2,High-level UI to control major feature changes between TB2 and TB3,Thunderbird,516884
P2,[faceted search] Add keyboard navigation capabilities to new search,Thunderbird,516680
P3,Need vista specific icons for address book sources,Thunderbird,522020
P3,[autoconfig] wrong popup on Username in account test,Thunderbird,522096
P3,[faceted search] timeline widget has slid over,Thunderbird,519253
P3,Aero - Spell-check toolbar button moves/shifts/jumps upwards on hover,Thunderbird,520971
P3,[Vista] New toolbar button icon improvements,Thunderbird,516384
P3,Windows XP theme inconsistencies,Thunderbird,524443
P3,"(Message header) When option ""Show icons and text"" is ON, ""Archive"" and ""Junk"" buttons are too big of other buttons",Thunderbird,519688
P3,Star Icon used in Message list pane is too big,Thunderbird,523803
P1,possibly fallback to always showing reply to sender as default,Thunderbird,523254
P3,Updated appearance for folders,Thunderbird,491294
P3,Search bar doesn't remember setting in new windows,Thunderbird,518753
P2,"Tags do not persist if there is an attachment (server returns PERMANENTFLAGS ... $Label1 $Label2 $Label3 $Label4 $Label5 ..., and no \*)",Thunderbird,526513
P3,Reply to list icon is missing in Windows XP with small icons,Thunderbird,527088
P2,Attachment reminder does not works with Greek (and other non-latin)keywords,Thunderbird,527018
P5,[64 bit unofficial version only] Shredder reopens after I quit,Thunderbird,529691
P1,"Default font-style changes abruptly to ""Variable width""",Thunderbird,534839
P1,New e-mail has copy of following e-mail embedded and a copy of an e-mail sent months ago,Thunderbird,535465
P2,Thunderbird fails to open http links from the e-mail body,Thunderbird,540361
P3,can't quit,Thunderbird,541859
P5,No mails are sent - error not generated - receiving is OK.,Thunderbird,547400
P1,Autoconfig: Make XML config file reading more liberal,Thunderbird,531267
P3,"Title Line - then to - End of Signature on ""TAB"" Selection With 'html' Signature in Use",Thunderbird,556907
P1,[autoconfig] emailAddress param not sent to autoconfig server,Thunderbird,557491
P2,Fix Account Wizard UI,Thunderbird,549045
P5,"Posting an HTML message to a NNTP forum always results in a question about the format to use, there should be a preset for this question to avoid it",Thunderbird,565592
P1,Different behavior in treating original e-mail message if replying or forwarding it,Thunderbird,573323
P3,RSS feeds are no longer threaded after upgrade to 3.1.x,Thunderbird,583320
P3,"If Drafts are stored in Inbox, then Double-Clicking a message runs ""Edit as New..."" instead of ""Open Message in New Tab""",Thunderbird,595662
P3,Attachment indication missing for some new mails with attachments until the mail is selected,Thunderbird,621011
P2,I/O read/write should use 16M read/write size for net & file I/O; current size is pathological -- TB hangs,Thunderbird,623448
P3,It is impossible to create a new subfolder in Outbox Local Folder,Thunderbird,630174
P3,installation problem,Thunderbird,668860
P2,{Ctrl}- accelerators missing from 5.0's Mail TB Get Mail button,Thunderbird,673358
P5,Need of wipeing out old register witih a new one,Thunderbird,674160
P1,Attachments corrupted when 'Save As' or new 'Save All' button used,Thunderbird,677881
P1,"audio/wav attachments seem to ""disappear""",Thunderbird,683995
P1,Contacts sidebar: Missing accelerator keys on context menu,Thunderbird,650798
P3,Attachments do not appear when body of message is blank,Thunderbird,703250
P1,Line break in email source produces unwanted spaces in Japanese,Thunderbird,704441
P3,Thunderbird will not display attachments if there is no text in the body.,Thunderbird,711551
P1,Problem when forwarding attachment filenames with accented characters,Thunderbird,718892
P3,"thunderbird 10.0, THUNDERBIRD.EXE , The exception unknown software exception (0x0000409) occurred in the application location 0x00db9ad7",Thunderbird,723437
P1,"Account Sync Options like Nightly -- Where Sync Single / Multi Address book, Settings, Addons, etc. etc.",Thunderbird,731913
P1,Am currently using Thunder Bird 12.0.1 and am not getting the Appointment or meeting request as in Ms Outlook,Thunderbird,759302
P5,unable to open Thunderbird,Thunderbird,762818
P1,Address Book - Import address book as Text file - Missing Buttons in Thunderbird Daily 16.0a1,Thunderbird,763154
P1,Mail Account Setup doesn't detect service on smtps (465),Thunderbird,755988
P1,thunderbird is not going to add new features,Thunderbird,783475
P4,gmail stuck up in recycler,Thunderbird,794838
P2,time out connecting to live.mozillamessaging.com,Thunderbird,800230
P2,YouSendIt Link Does Not Work,Thunderbird,801038
P1,not able to write names,Thunderbird,820350
P1,Extremely slow performance with a lot of products (~1800) and security groups for each,Bugzilla,322848
P5,collectstats.pl goes away from bugzilla root  directory when graphs subdir is a symbolic link,Bugzilla,328172
P2,Watching the same user twice produces a SQL error,Bugzilla,328615
P1,Whining fails on MySQL 4.0 due to multiple date addition,Bugzilla,327348
P5,Bad alignment of ) for Alias,Bugzilla,330583
P1,Cannot post a bug with keywords in it,Bugzilla,333195
P5,missing links in sidebar.cgi,Bugzilla,333870
P2,editparams.cgi crashes when editing the 'languages' and 'defaultlanguage' parameters,Bugzilla,335354
P4,OS becomes Other when use windows98,Bugzilla,337118
P1,"LDAP user login failure: Can't locate object method ""realname"" via package ""Bugzilla::User""",Bugzilla,337661
P1,"When trying to impersonate someone, the UI displays the password field when using the ENV method (with user_info_class=""Env,CGI"")",Bugzilla,337681
P4,Add me to cc list feature is confusing,Bugzilla,338965
P5,potentially settable flags really don't scale well past 5 items,Bugzilla,339684
P1,The login form appears twice when trying to add an attachment (due to two consecutive calls to Bugzilla->login),Bugzilla,340967
P5,Bugzilla should correct its paths to avoid rendering errors,Bugzilla,342842
P1,Cannot upgrade from any version before 2.17.1.,Bugzilla,342861
P5,"Consistently use ""web server"" instead of ""webserver""",Bugzilla,345971
P1,Whine.pl doesn't seem to work from command line nor cron.,Bugzilla,349210
P1,"""I'm added to or removed from this capacity"" user pref doesn't work for new bugs",Bugzilla,349852
P3,Consistently name the Settings control panel (User Preferences),Bugzilla,363908
P2,""" Add a new query"" should be renamed",Bugzilla,363910
P5,"editwhines uses both the word ""query"" and the word ""search"" for the same thing",Bugzilla,363912
P1,Disabling CC list <select> for logged-out users can make the list unscrollable,Bugzilla,364065
P1,terms.Bugs not used everywhere in templates,Bugzilla,325691
P3,"In showdependencytree.cgi, open bugs blocking closed bugs are still counted when hide_resolved=1",Bugzilla,364173
P5,Wording on showdependencytree.cgi is bad when there are no dependencies,Bugzilla,364172
P4,Header and Footer are much worse in links than they used to be,Bugzilla,364163
P2,Inefficient SQL: Selecting subclass from setting table,Bugzilla,364161
P4,aliases should absolutely forbid non ascii (遠藤 != &#36960;&#34276;),Bugzilla,355995
P3,Trim whitespaces from the URL field,Bugzilla,366152
P1,private comments cause bugmail to not be sent to people not in the insider group even if there are public changes,Bugzilla,366994
P1,German Localization Page by Marc Schumann is not available,Bugzilla,371425
P4,QuickSearch using unknown field makes Bugzilla hang,Bugzilla,365082
P1,Custom field names must be all lowercase or buglist.cgi sorting throws an error,Bugzilla,373869
P2,SaveAccount() in userprefs.cgi doesn't check Bugzilla->user->authorizer->can_change_{password|email},Bugzilla,381738
P5,bugzilla.org request system feature bullet is too proud,Bugzilla,384000
P4,vertical label (and table in mozilla) snake around when using z axis whose values have wide ranging lengths,Bugzilla,385319
P4,"if a particular x/y pair of values have no matches, they shouldn't show up in a report table",Bugzilla,385384
P3,mod_perl creates a separate template directory,Bugzilla,383522
P1,[SECURITY] Insufficient escaping of From address when using Sendmail,Bugzilla,386860
P2,Dependency graph wrong url path under mod_perl,Bugzilla,370398
P2,"Entering a tag name manually (""create and add the tag"") should not silently remove the tag from any other bugs. (overwrites)",Bugzilla,385003
P4,Can't edit shared queries if you can't run them,Bugzilla,389815
P1,Bugzilla UI broken with Firefox 2.0.0.x,Bugzilla,370739
P1,process_bug.cgi throws an error if a bug is moved to another product or component where a given flag doesn't apply as is,Bugzilla,391073
P4,deleting a non existent search succeeds and informs me that it is gone,Bugzilla,391665
P1,Initial installation creates the mysql db using latin1 charset (utf8 illegal mix of collations),Bugzilla,374951
P2,"When classifications are in use, editproducts.cgi displays ""Add product"" to users that can't add products",Bugzilla,396934
P3,Tables don't have good identifiers for use with css,Bugzilla,401789
P2,Some emails are not sent in the language chosen by the addressee,Bugzilla,405946
P1,"Non-text attachments are mangled by ""binmode STDOUT, ':utf8'""",Bugzilla,408446
P3,[PatchReader] Group empty cells together to reduce the size of the diff page,Bugzilla,352615
P1,Dropping indexes sometimes needs to drop Foreign Keys,Bugzilla,410873
P4,attachment mime type handling should strip leading and trailing spaces,Bugzilla,413648
P1,Implement Bugzilla->active_custom_fields,Bugzilla,415652
P1,All webservice methods fail if a string has multibyte characters in it,Bugzilla,415796
P1,[SECURITY] XSS in show_bug.cgi: id isn't filtered for format=multiple,Bugzilla,425665
P3,@INC behaviour is non-obvious for extensions,Bugzilla,430013
P1,[SECURITY] Local files on the server can be attached to a bug (making them publicly visible) when importing bugs with -attach_path,Bugzilla,437169
P1,DB connections not closing under mod_perl,Bugzilla,441592
P1,[Oracle] 'Find a specific Bug' does not work in 3.1.4,Bugzilla,432601
P1,"WebService faultCode is a string when a script ""die""s",Bugzilla,446327
P1,Populating bugs_fulltext can be very slow on large installations,Bugzilla,442882
P1,Login cookies should be created as SSL-only on installations that require SSL,Bugzilla,449984
P4,"Boolean chart contains the phrase ""contains regexp"" when it should say ""matches regexp""",Bugzilla,450267
P1,Readonly custom field texts appear too small,Bugzilla,434008
P3,"The word ""Severity"" is hard coded; not all pages use field_descs.bug_severity",Bugzilla,451801
P1,request.cgi crashes if a flag modification date is invalid,Bugzilla,452893
P5,noscript: no link to duplicate target bug,Bugzilla,452813
P2,"The status selector is too far from the comment box, leading to a serious usability problem",Bugzilla,452888
P4,"The ""Remove Event"" and ""Update/Commit"" buttons in editwhines.cgi are too far on the right",Bugzilla,433015
P1,"Remove the keyword chooser, because it's a usability regression",Bugzilla,452734
P1,"Do not display the ""Yes, delete"" button if deleting a user account would cause FK constraint errors",Bugzilla,453681
P3,token.cgi should reject password change requests for disabled accounts,Bugzilla,455814
P2,"Bugzilla should be able to display the ""shutdownhtml"" message even if the SQL server is down",Bugzilla,398075
P4,"Emails have no header to indicate that they are auto-generated, and so get auto-responses",Bugzilla,455845
P4,attachment flag review does not show userlist when usemenuforusers is on,Bugzilla,458607
P1,The URL to the dependency graph is wrong when using an external webdot server,Bugzilla,458854
P5,"Attachment.cgi errors should *always* list your comment, description, filename and such in their error",Bugzilla,327626
P1,New user accounts can access editusers and add and remove themselves from groups,Bugzilla,460379
P1,Fix timezones in emails,Bugzilla,452519
P1,Changing parameters can silently fail (particularly on Windows),Bugzilla,347707
P1,Already selected user accounts are no longer displayed when usemenuforusers is enabled and the account has been disabled,Bugzilla,465589
P4,SMTP parameters not documented,Bugzilla,469068
P1,"The Index of Parameters should linkify parameters, not the category they belong to",Bugzilla,471890
P2,More scripts should use the shadow DB instead of the master DB,Bugzilla,471880
P3,add space after comma in list values of search description to avoid early newlines,Bugzilla,473521
P3,can't search for a substring/regexp on a keyword,Bugzilla,474150
P1,"When using mod_perl ""Change Columns"" and ""Reset to Bugzilla Default"" buttons in colchange.cgi sometimes return HTML as text",Bugzilla,376044
P3,"Search description doesn't explain when the search type is ""not equals""",Bugzilla,474738
P2,checksetup.pl only creates custom CSS files on the second run,Bugzilla,474881
P4,"Irrelevant username check in the 'Email Addresses, Bug Numbers, and Votes' section if no checkbox is checked",Bugzilla,480999
P2,Changing a bug (via process_bug) omits body classes and other header information when displaying the current/next bug,Bugzilla,425668
P1,"Every other query throws ""Invalid column name"" code error",Bugzilla,491467
P3,WebServices fails when API method missing without a nice message,Bugzilla,490680
P1,Confirming bugs requires NEW state to exist,Bugzilla,500900
P2,"""My Requests"" link no longer displayed in the footer of some pages (attachment.cgi diff mode, page.cgi)",Bugzilla,458627
P1,"Update the ""Features"" page",Bugzilla,506908
P1,[SECURITY] Users can see all products when editing bugs,Bugzilla,507389
P1,line breaks erroneously present in bug xml,Bugzilla,509152
P1,Assignee is blank in Whine emails,Bugzilla,511216
P2,Bugzilla in combination with JAWS doesn't work anymore after upgrading to version 3.4.1,Bugzilla,514142
P2,large search query causing internal server error (500) but valid redirect 302 returned,Bugzilla,513989
P1,[SECURITY] SQL Injection via Bug.search (CVE-2009-3125) and Bug.create (CVE-2009-3165),Bugzilla,515191
P1,The WebService should taint incoming parameters,Bugzilla,513593
P2,Search yields no results.,Bugzilla,518194
P4,WebService calls leak email addresses when not logged in,Bugzilla,520448
P1,Cannot create components for multiple products in a row in one script,Bugzilla,522404
P1,https login page switches to http on submit if ssl_redirect = false,Bugzilla,329638
P1,template-before_process hook causes infinite recursion if it throws an error,Bugzilla,523762
P1,Error message popup on Windows from Oracle module on every checksetup.pl run,Bugzilla,480968
P3,"text input fields are different widths on enter_bug.cgi, process_bug.cgi and post_bug.cgi",Bugzilla,521463
P1,install-module.pl sometimes fails to install DateTime::Locale and other modules,Bugzilla,557769
P1,"[SECURITY] Header injection, cross-site scripting in report.cgi",Bugzilla,591165
P2,its no longer possible to edit attachment flags (such as 'patch'),Bugzilla,592012
P1,[SECURITY] Content/Header injection due to non-random multipart/x-mixed-replace boundary,Bugzilla,600464
P1,"[SECURITY] Tokens generated from weak source of randomness, allowing an attacker to guess a password change token and change the password of any account",Bugzilla,619594
P3,[SECURITY] Voting lacks CSRF protection,Bugzilla,621105
P1,"[SECURITY] chart.cgi vulnerable to header-injection due to use of |print ""Location:""| instead of $cgi->redirect",Bugzilla,621572
P4,"Product and component  mismatch , a product without any component gets component of other projects in advance search",Bugzilla,622487
P1,query-to-tags migration code fails to properly parse some input,Bugzilla,630800
P2,Incorrect option element is selected after navigating to another page and then moving back using the back button,Bugzilla,641450
P4,"Description of field days_elapsed missing from global/field-descs.none.tmpl, so it could not be translated",Bugzilla,642388
P1,Math::Random::Secure's dependencies frequently do not install properly,Bugzilla,646578
P1,contrib/convert-workflow.pl should add transitions from RESOLVED and VERIFIED to CONFIRMED (if transitions to REOPENED were present),Bugzilla,610767
P2,User fields are left blank in buglists and whines when local user accounts are used (i.e. they have no @company.com suffix),Bugzilla,550299
P4,Cannot shrink-back attachment description textarea on detailed edit,Bugzilla,653659
P1,new bugzilla 4 installaion,Bugzilla,666497
P1,I am asked to login every time even when requirelogin is set to OFF,Bugzilla,680049
P3,Not redirecting to Bug after logging in to Bugzilla using Email URL,Bugzilla,699005
P2,Incorrect time saved to DB when attachment added trough XML-RPC,Bugzilla,657290
P1,bug chrome,Bugzilla,708055
P3,checksetup.pl DBD::Oracle::db do failed: ORA-02270: no matching unique or primary key error,Bugzilla,711960
P1,"If all attachments are stored locally (maxattachmentsize = 0, maxlocalattachment > 0), the link to attach files to bugs is not displayed",Bugzilla,717210
P1,XMLRPC content-type verification fails if a charset is provided,Bugzilla,731219
P5,Deadlock error reported when updating bug,Bugzilla,732912
P1,Enter bug - Bugzilla,Bugzilla,736388
P4,During login it show error no. 404,Bugzilla,743620
P3,checksetup.pl is not creating database bugs table,Bugzilla,752479
P1,If you believe your account should be restored,Bugzilla,756023
P1,database add index audit_log_class_at_time_idx for audit_log,Bugzilla,745533
P3,object_before_delete does not work in case of Bugzilla::Product,Bugzilla,792403
P1,PostgreSQL 9.2 requires DBD::Pg 2.19.3,Bugzilla,799721
P1,screen display copyright,Bugzilla,810563
P1,History importer,Firefox,322369
P2,Move collapse duplicates from a result to options,Firefox,322289
P2,Queries in the bookmark toolbar/menu don't act like folders,Firefox,322290
P1,Migration Integration Audit,Firefox,322986
P1,Bookmark properties should be available for pages other than the currently-viewed page,Firefox,322988
P1,Add Bookmark UI,Firefox,322989
P4,Better live query updating in places,Firefox,323342
P3,Don't do places update when loaded in a background tab,Firefox,323522
P3,[FIX] Leak when using history autocomplete,Firefox,323532
P1,"When deleting, view does not update correctly.",Firefox,323831
P1,NavHistoryResult/Node refactor,Firefox,323492
P2,Fix icons for generic leaf items,Firefox,323095
P1,Selection not restored after delete,Firefox,323800
P2,Interesting bookmarks copy-paste behavior,Firefox,323812
P1,Crash when Places imports FF1.5 bookmarks,Firefox,323472
P2,"Add a top level ""Subscriptions"" item",Firefox,323834
P5,"the home button does not have a ""disabled"" style rule, even though the image exists",Firefox,323972
P4,Check DB sorting performance,Firefox,324428
P3,Fix places tree styles on Mac,Firefox,324429
P4,Preserve expanded items across query updates,Firefox,324471
P2,Finish remote container API,Firefox,324553
P2,Don't Change the title of feed items to the title of the homepage,Firefox,324202
P2,Bookmark queries should handle absence of GROUP_BY_FOLDER,Firefox,324579
P5,Delete invalid place: folder URIs on vacuum,Firefox,324959
P2,Allow bookmark folders to be sorted and update properly,Firefox,324590
P3,Rename form history database,Firefox,324545
P2,nsINavHistoryService::addVisit() should increment the visit count,Firefox,324879
P1,Folder undo delete back to previous folder ID,Firefox,324958
P2,Folder delete undo,Firefox,324957
P2,Firefox 2 Feed Handling Functionality,Firefox,325081
P3,Clear history button in preferences doesn't work,Firefox,325092
