Bug-ID ,Project ,Classification,Summary,Link,Enviroment ,
16058,JMeter,Configuration issue,"Focus problems under jdk 1,4,1",16058,APACHE ,
49528,Tomcat 7,Configuration issue,"HttpServletRequest,isAsyncStarted() returns false when a Runnable is started",49528,APACHE ,
55884,Tomcat 8,Configuration issue,JSPs no longer compile in Java 8,55884,APACHE ,
45490,Fop - Now in Jira,Configuration issue,Handling of font URL pointing to a JAR entry don't work,45490,APACHE ,
51723,Rivet,Configuration issue,makeurl command does not allow relative paths,51723,APACHE ,
41831,Fop - Now in Jira,Configuration issue,[PATCH] Refactored configuration; font detection and caching; url resolution,41831,APACHE ,
40856,Tomcat Connectors,Configuration issue,URL mapping case sensitive,40856,APACHE ,
34006,Tomcat 5,Configuration issue,"Undeploy of webapps with antiResourceLocking in META-INF\context,xml fails after Tomcat restart",34006,APACHE ,
57191,APR,Configuration issue,APR compile failure with Visual Studio 2013,57191,APACHE ,
44698,Lenya,Configuration issue,"Building 1,3 fails with NCDFE: SerializerTrace",44698,APACHE ,
COCOON-4,Cocoon,Configuration issue,missing classpath entry in ./build.bat and ./build.sh,https://issues.apache.org/jira/browse/COCOON-4?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
COLLECTION-34,Commons Collection,Configuration issue,Collections doesn't build with jdk1.2 javac,https://issues.apache.org/jira/browse/COLLECTIONS-34?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
CACTUS-7,Cactus,Configuration issue,Starting and stopping the servlet engine in ant,https://issues.apache.org/jira/browse/CACTUS-7?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
XALANC-44,XalanC,Configuration issue,Could not compile,https://issues.apache.org/jira/browse/XALANC-44?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
COCOON-69,Cocoon ,Configuration issue,session:get-attribute bug,https://issues.apache.org/jira/browse/COCOON-69?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
LUCENE-1,Lucene,Configuration issue,lock files don't work in JDK 1.1,https://issues.apache.org/jira/browse/LUCENE-1?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
XERCESP-6,Xerces-P,Configuration issue,Error building Xerces.C,https://issues.apache.org/jira/browse/XERCESP-6?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
SOAP-143,SOAP,Configuration issue,Problem to config Soap 2.3 + Tomcat 4.0.5 + xerces 1.4.4,https://issues.apache.org/jira/browse/SOAP-143?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
MYFACES-286,My Faces Core,Configuration issue,x:datatable doesn't support Set,https://issues.apache.org/jira/browse/MYFACES-286?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
HTTPCLIENT-434,HttpComponents HttpClient,Configuration issue,Document API incompatibility with HttpClient 2.0,https://issues.apache.org/jira/browse/HTTPCLIENT-434?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
XERCESC-8,Xerces-C++,Configuration issue,"Build fails on AIX 4.3.3 (IBM RS/6000), VisualAge C++ Pro v5",https://issues.apache.org/jira/browse/XERCESC-8?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22error%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
STR-203,Struts ,Configuration issue,Bug Reporting System' link on Struts home page is broken..,https://issues.apache.org/jira/browse/STR-203?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
JAMES-3,James Server,Configuration issue,"Accounts with "".""",https://issues.apache.org/jira/browse/JAMES-3?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
XERCESC-23,Xerces-C++,Configuration issue,Headers install in wrong directory.,https://issues.apache.org/jira/browse/XERCESC-23?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
STR-405,Struts,Configuration issue,Bad links,https://issues.apache.org/jira/browse/STR-405?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22security%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
JAMES-6,James Server,Configuration issue,Sending mail to local recipient and remote recipient fails to send to remote recipient,https://issues.apache.org/jira/browse/JAMES-6?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
COCOON-33,Cocoon,Configuration issue,Error: 500,https://issues.apache.org/jira/browse/COCOON-33?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
JAMES-4,James Server,Configuration issue,Bounced mail to unknown sender address or SMTP server hangs James,https://issues.apache.org/jira/browse/JAMES-4?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,
40836,Apache httpd-2,Configuration issue,"Microsoft Update: KB920342; Apache 2,2,3 service doesn't start",40836,APACHE ,
8482,Apache httpd-2,Configuration issue,nph- CGIs and/or server-pushed methodes not working properly,8482,APACHE ,
44902,Fop - Now in Jira,Configuration issue,"FOP 0,95 does not resolve server path names,",44902,APACHE ,
32280,Tomcat 5,Configuration issue,Problem clustering tomcat when a failed server is restarting,32280,APACHE ,
39463,APR,Configuration issue,"Sendfile broken in 2,2,2 on Solaris 10 when using Server parsed html includes",39463,APACHE ,
42521,Apache httpd-2,Configuration issue,"Unable to connect via DAV (server is 10,4,9; client is 10,4,9)",42521,APACHE ,
42839,Tomcat Connectors,Configuration issue,iPlanet / SunONE web server tomcat connector connection re-use disabled,42839,APACHE ,
34479,Apache httpd-2,Configuration issue,(OS 10048) error during installation,34479,APACHE ,
37021,Lenya,Configuration issue,[PATCH] cforms libraries are not loaded,37021,APACHE ,
36382,Lenya,Configuration issue,"[PATCH] Endorsed libraries are not considered properly,",36382,APACHE ,
598,Ant,Configuration issue,Execute does not properly change drive for Windows,598,APACHE ,
11091,Tomcat 4,Configuration issue,"Tomcat (4,1,7 - 4,1,9)-LE-jdk14 ignores error page specified in web,xml",11091,APACHE ,
30764,Security - Now in JIRA,Configuration issue,"JDK 1,4,2_05 has new org,apache,xpath,compiler api,,, now private m_functions field",30764,APACHE ,
34520,Apache httpd-2,Configuration issue,"cope with OpenSSL 0,9,7g API changes",34520,APACHE ,
40512,Security - Now in JIRA,Configuration issue,Fix incompatible API changes to TransformSpi,40512,APACHE ,
1206,Batik - Now in Jira,Configuration issue,Add a text-search in the SVG Browser,1206,APACHE ,
46,Batik - Now in Jira,Configuration issue,Add marker support,46,APACHE ,
680,Ant,Configuration issue,"JUnit task not compatible w/ JUnit 3,5",680,APACHE ,
43156,Fop - Now in Jira,Configuration issue,"[PATCH] jdk1,3 compatibility fix for fop-0_94",43156,APACHE ,
38444,Security - Now in JIRA,Configuration issue,"Transform TRANSFORM_XPATH2FILTER subtract filter bug in 1,3 release",38444,APACHE ,
16266,CDT,Configuration issue,NoClassDefFoundError IDebugViewAdapter,https://bugs.eclipse.org/bugs/show_bug.cgi?id=16266,ECLIPSE,
222581,OCL,Configuration issue,Bug resolving CollectionTypes in AbstractTypeResolver,https://bugs.eclipse.org/bugs/show_bug.cgi?id=222581,ECLIPSE,
495099,Papyrus,Configuration issue,[SysML 1.4][releng] promote bug,https://bugs.eclipse.org/bugs/show_bug.cgi?id=495099,ECLIPSE,
202415,PDT,Configuration issue,Debugger mapping - when an extra directory is added to the project - breakpoints are ignored,https://bugs.eclipse.org/bugs/show_bug.cgi?id=202415,ECLIPSE,
296141,PDT,Configuration issue,Run/Debug As -> PHP Script will not start if a configuration with xdebug was used before that,https://bugs.eclipse.org/bugs/show_bug.cgi?id=296141,ECLIPSE,
350405,PDT,Configuration issue,Incorrect default Launch URL when Run/Debug As PHP Web Page,https://bugs.eclipse.org/bugs/show_bug.cgi?id=350405,ECLIPSE,
18372,Platform,Configuration issue,get rid of all fragment.properties in UI fragments,18372,ECLIPSE,
18965,Platform,Configuration issue,DBCS: DBCS file and path name,18965,ECLIPSE,
100059,Platform,Configuration issue,Adding a bug reports page to the Web site,https://bugs.eclipse.org/bugs/show_bug.cgi?id=100059,ECLIPSE,
283581,RTSC,Configuration issue,RTSC build profile should be set to 'whole_program_debug' in wizard page,https://bugs.eclipse.org/bugs/show_bug.cgi?id=283581,ECLIPSE,
164628,Target Management,Configuration issue,Unnecessary dependency of rse.ui -> debug.ui,https://bugs.eclipse.org/bugs/show_bug.cgi?id=164628,ECLIPSE,
127119,WTP Common Tools,Configuration issue,Facet actions sort does not termination for certain version change actions,https://bugs.eclipse.org/bugs/show_bug.cgi?id=127119,ECLIPSE,
145875,WTP EJB Tools,Configuration issue,New UI plugin dependency introduced in WTP 1.5 model plugin,https://bugs.eclipse.org/bugs/show_bug.cgi?id=145875,ECLIPSE,
160562,WTP Java EE Tools,Configuration issue,[j2ee] EAR with J2EE modules in a directory fail to import properly,https://bugs.eclipse.org/bugs/show_bug.cgi?id=160562,ECLIPSE,
249347,WTP Java EE Tools,Configuration issue,Make .JETEmitter project optional,https://bugs.eclipse.org/bugs/show_bug.cgi?id=249347,ECLIPSE,
83115,WTP Java EE Tools,Configuration issue,Workarounds need fixing for capability with Eclipse 3.1,83115,ECLIPSE,
83338,WTP Java EE Tools,Configuration issue,[perf]* BeaninfoClassAdapter should specify parser pool option,83338,ECLIPSE,
104066,WTP Java EE Tools,Configuration issue,http://java.sun.com/xml/ns/j2ee/jsp_2_0.xsd does not have license associated,104066,ECLIPSE,
102173,WTP Java EE Tools,Configuration issue,Investigate Dependency graph builder as resource change listener,102173,ECLIPSE,
102947,WTP Java EE Tools,Configuration issue,EAR import does not place classes in correct location,102947,ECLIPSE,
159026,WTP Java EE Tools,Configuration issue,[j2ee] 'EAR Libraries' does not include JAR files in directories,https://bugs.eclipse.org/bugs/show_bug.cgi?id=159026,ECLIPSE,
190198,WTP Java EE Tools,Configuration issue,[hotbug] JEE5 Web model does not update on changes in web.xml,https://bugs.eclipse.org/bugs/show_bug.cgi?id=190198,ECLIPSE,
195431,WTP Java EE Tools,Configuration issue,J2EEModuleVirtualComponent.getManifestReferences() performance,https://bugs.eclipse.org/bugs/show_bug.cgi?id=195431,ECLIPSE,
80594,WTP Releng,Configuration issue,SDK doesn't include other source files,80594,ECLIPSE,
115959,WTP Releng,Configuration issue,"Two SDK ""source plugins"" mistakenly jarred",115959,ECLIPSE,
99849,WTP Webservices,Configuration issue,[arch] org.eclipse.wst.wsi mixes model and UI code,99849,ECLIPSE,
